Period,A InterestDue,A InterestPaid,A InterestShortfall,A PrincipalPaid,A Balance,B InterestDue,B InterestPaid,B InterestShortfall,B PrincipalPaid,B Balance
27,25154.309607598505,25154.309607598505,0,442494.95426316664,4124096.8050587997,79746.67776867186,79746.67776867186,0,0,14177187.158874996
28,22716.899901198893,22716.899901198893,0,448616.6424771174,3675480.162581682,79746.67776867186,79746.67776867186,0,0,14177187.158874996
29,20245.769895554102,20245.769895554102,0,454824.1153071133,3220656.047274569,79746.67776867186,79746.67776867186,0,0,14177187.158874996
30,17740.447060404087,17740.447060404087,0,461118.589797391,2759537.4574771784,79746.67776867186,79746.67776867186,0,0,14177187.158874996
31,15200.45216160346,15200.45216160346,0,467501.3004629847,2292036.157014193,79746.67776867186,79746.67776867186,0,0,14177187.158874996
32,12625.299164886514,12625.299164886514,0,473973.4995433383,1818062.657470854,79746.67776867186,79746.67776867186,0,0,14177187.158874996
33,10014.495138235288,10014.495138235288,0,480536.45725962444,1337526.2002112288,79746.67776867186,79746.67776867186,0,0,14177187.158874996
34,7367.540152830185,7367.540152830185,0,487191.4620758464,850334.7381353825,79746.67776867186,79746.67776867186,0,0,14177187.158874996
35,4683.927182562399,4683.927182562399,0,493939.8209637656,356394.9171716161,79746.67776867186,79746.67776867186,0,0,14177187.158874996
36,1963.1420020869855,1963.1420020869855,0,356394.9171716161,0.0,79746.67776867186,79746.67776867186,0,500782.85967172316,13676404.299203273
37,0,0,0,0,0,76929.77418301841,76929.77418301841,0,507721.92299739877,13168682.376205875
38,0,0,0,0,0,74073.83836615806,74073.83836615806,0,514758.3750645867,12653924.001141287
39,0,0,0,0,0,71178.32250641975,71178.32250641975,0,521893.5996040183,12132030.40153727
40,0,0,0,0,0,68242.67100864714,68242.67100864714,0,529129.0002383246,11602901.401298944
41,0,0,0,0,0,65266.32038230656,65266.32038230656,0,536466.0007711638,11066435.40052778
42,0,0,0,0,0,62248.69912796877,62248.69912796877,0,543906.0454806215,10522529.355047159
43,0,0,0,0,0,59189.22762214028,59189.22762214028,0,551450.5994168982,9971078.75563026
44,0,0,0,0,0,56087.31800042022,56087.31800042022,0,559101.148704379,9411977.606925882
45,0,0,0,0,0,52942.374038958085,52942.374038958085,0,566859.2008481427,8845118.406077739
46,0,0,0,0,0,49753.791034187285,49753.791034187285,0,574726.2850449727,8270392.121032766
47,0,0,0,0,0,46520.95568080931,46520.95568080931,0,582703.9524989495,7687688.168533817
48,0,0,0,0,0,43243.245948002725,43243.245948002725,0,590793.7767416546,7096894.391792162
49,0,0,0,0,0,39920.030953830916,39920.030953830916,0,598997.35395712,6497897.037835042
50,0,0,0,0,0,36550.670837822116,36550.670837822116,0,607316.3033115243,5890580.734523518
51,0,0,0,0,0,33134.516631694794,33134.516631694794,0,566160.4670518419,5324420.267471677
52,0,0,0,0,0,29949.864004528183,29949.864004528183,0,557427.7223764372,4766992.545095239
53,0,0,0,0,0,26814.333066160718,26814.333066160718,0,541744.7622416584,4225247.782853581
54,0,0,0,0,0,23767.018778551395,23767.018778551395,0,522994.81255254353,3702252.9703010377
55,0,0,0,0,0,20825.172957943338,20825.172957943338,0,496159.43421375204,3206093.5360872857
56,0,0,0,0,0,18034.276140490983,18034.276140490983,0,471408.7100378569,2734684.8260494284
57,0,0,0,0,0,15382.602146528036,15382.602146528036,0,444633.87105955696,2290050.954989871
58,0,0,0,0,0,12881.536621818026,12881.536621818026,0,405383.41750171926,1884667.5374881513
59,0,0,0,0,0,10601.254898370853,10601.254898370853,0,367848.93576640286,1516818.6017217487
60,0,0,0,0,0,8532.104634684836,8532.104634684836,0,334917.12986203935,1181901.4718597084
61,0,0,0,0,0,6648.19577921086,6648.19577921086,0,289788.1676607569,892113.3041989524
62,0,0,0,0,0,5018.137336119108,5018.137336119108,0,245471.69844104885,646641.6057579033
63,0,0,0,0,0,3637.3590323882067,3637.3590323882067,0,207367.54288422756,439274.0628736764
64,0,0,0,0,0,2470.91660366443,2470.91660366443,0,182193.2314904563,257080.83138322085
65,0,0,0,0,0,1446.0796765306175,1446.0796765306175,0,147422.97352490269,109657.85785831884
66,0,0,0,0,0,616.8254504530435,616.8254504530435,0,109657.85785831884,0.0
67,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
